SIMULATION RESULTS OBTAINED : 
 time=                   0 , clock=0 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=x , down=x, idle=x , door=x , Emergency_stop=x , current_floor=x , min_request=x , max_request=x , requests=xx 
 time=              380000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=0 , max_request=7 , requests=09 
 time=              385000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=3 , min_request=0 , max_request=7 , requests=01 
 time=              390000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=3 , min_request=0 , max_request=7 , requests=01 
 time=              395000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=0 , max_request=7 , requests=01 
 time=              400000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=0 , max_request=7 , requests=01 
 time=              405000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=0 , max_request=7 , requests=01 
 time=              410000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=0 , max_request=7 , requests=01 
 time=              415000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=0 , max_request=7 , requests=01 
 time=              420000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=0 , max_request=7 , requests=01 
 time=              425000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
